"clusters1","clusters2","clusters3","clusters4","clusters5","clusters6","clusters7","clusters8","clusters9","clusters10","clusters11","clusters12","clusters13","clusters14","clusters15","clusters16","clusters17","clusters18","clusters19","clusters20","clusters21","clusters22","clusters23","clusters24","clusters25","clusters26","clusters27","clusters28","clusters29","clusters30","clusters31","clusters32","clusters33","clusters34","clusters35","clusters36","clusters37","clusters38","clusters39","clusters40","clusters41","clusters42","clusters43","clusters44","clusters45","clusters46","clusters47","clusters48","clusters49","clusters50","clusters51","clusters52","clusters53","clusters54","clusters55","clusters56","clusters57","clusters58","clusters59","clusters60","clusters61","clusters62","clusters63","feature"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"ABCA1"
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"ABO"
1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"ADAMTS6"
1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"AFAP1"
1,2,2,2,2,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"ALDH9A1"
1,1,1,3,3,3,3,3,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"ANAPC1"
1,1,1,3,3,3,3,3,3,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"ANGPT1"
1,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"ANGPT2"
1,1,1,1,4,5,5,5,6,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"ANGPTL2"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"ANKH"
1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,"ANTXR1"
1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,"ARHGEF12"
1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,"ATXN2"
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,"BCAS3"
1,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,11,11,11,11,11,11,12,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,"CAPZA1"
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,"CAV1"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,"CAV2"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,"CDH11"
1,2,2,2,2,2,2,7,8,9,9,10,10,11,11,11,12,12,12,12,12,12,13,14,14,14,14,14,15,15,15,15,16,16,16,16,16,16,16,16,16,17,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,"COL24A1"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,"CTTNBP2"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,21,21,21,21,21,21,21,21,21,21,21,21,21,"CYP1B1"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,18,19,19,19,19,20,20,20,21,22,22,22,22,22,22,22,22,22,22,22,22,22,"DGKG"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,16,16,16,16,16,17,17,21,22,23,23,23,23,23,23,23,23,23,23,23,23,23,"EFEMP1"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,18,18,18,18,18,24,24,24,24,24,24,24,24,24,24,24,24,"EMCN"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,21,21,22,23,24,25,25,25,25,25,25,25,25,25,25,25,25,"EMID1"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,18,18,18,18,18,24,24,24,24,26,26,26,26,26,26,26,26,"ETS1"
1,1,1,1,4,5,5,5,6,7,7,8,8,9,9,9,9,9,13,13,13,13,14,15,15,15,15,15,16,16,16,16,17,17,17,17,17,18,18,18,18,19,20,20,21,21,22,22,23,24,25,26,26,26,26,27,27,27,27,27,27,27,27,"FBXO32"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,13,13,14,14,14,14,15,16,16,16,16,16,17,17,17,17,18,18,18,18,18,19,19,19,19,20,21,21,22,22,23,23,24,25,26,27,27,27,27,28,28,28,28,28,28,28,28,"FER"
1,1,1,1,1,1,7,8,9,10,10,11,11,12,13,13,14,14,15,15,15,15,16,17,17,17,17,17,18,18,18,18,19,19,19,19,19,20,20,20,20,21,22,22,23,23,24,24,25,26,27,28,28,28,28,29,29,29,29,29,29,29,29,"FERMT2"
1,1,1,1,4,5,5,5,6,7,11,12,12,13,14,14,15,15,16,16,16,16,17,18,18,18,18,18,19,19,19,19,20,20,20,20,20,21,21,21,21,22,23,23,24,24,25,25,26,27,28,29,29,29,29,30,30,30,30,30,30,30,30,"FMNL2"
1,1,1,3,3,3,3,3,3,3,3,3,13,14,15,15,16,16,17,17,17,17,18,19,19,19,19,19,20,20,20,20,21,21,21,21,21,22,22,22,22,23,24,24,25,25,26,26,27,28,29,30,30,30,30,31,31,31,31,31,31,31,31,"FNDC3B"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,32,32,32,32,32,32,32,32,"FOXC1"
1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,11,11,11,20,21,21,21,21,22,22,22,22,22,23,23,23,23,24,25,25,26,26,27,27,28,29,30,31,31,31,32,33,33,33,33,33,33,33,33,"GAS7"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,34,34,34,34,"GMDS"
1,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,11,11,11,11,11,11,12,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,24,25,26,26,27,27,28,28,29,30,31,32,32,32,33,34,34,34,34,35,35,35,35,"GNB1L"
1,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,11,11,11,11,11,11,12,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,24,25,26,26,27,28,29,29,30,31,32,33,33,33,34,35,35,35,35,36,36,36,36,"KALRN"
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,30,31,32,33,34,34,34,35,36,36,36,36,37,37,37,37,"KREMEN1"
1,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,11,11,11,11,11,11,12,13,13,13,13,13,14,14,14,14,14,23,23,23,23,24,24,24,25,26,27,27,28,29,30,31,32,33,34,35,35,35,36,37,37,37,37,38,38,38,38,"LMO7"
1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18,19,20,20,20,20,21,22,22,22,22,23,24,24,24,24,25,25,25,26,27,28,28,29,30,31,32,33,34,35,36,36,36,37,38,38,38,38,39,39,39,39,"LMX1B"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,39,40,40,40,40,"LTBP2"
1,2,2,2,2,2,2,7,8,9,9,10,10,11,11,11,12,12,12,12,18,19,20,21,21,21,21,22,23,23,23,23,24,25,25,25,25,26,26,26,27,28,29,29,30,31,32,33,34,35,36,37,37,37,38,39,39,39,40,41,41,41,41,"ME3"
1,1,1,1,4,5,5,5,6,7,7,8,8,9,9,9,9,17,18,18,19,20,21,22,22,22,22,23,24,24,24,24,25,26,26,26,26,27,27,27,28,29,30,30,31,32,33,34,35,36,37,38,38,38,39,40,40,40,41,42,42,42,42,"MECOM"
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27,27,28,28,28,29,30,31,31,32,33,34,35,36,37,38,39,39,39,40,41,41,41,42,43,43,43,43,"MYOC"
1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18,19,20,20,23,23,24,25,25,25,25,26,27,27,28,28,29,29,29,30,31,32,32,33,34,35,36,37,38,39,40,40,40,41,42,42,42,43,44,44,44,44,"MYOF"
1,1,1,1,4,5,5,5,6,7,11,12,12,13,14,14,15,15,16,19,20,21,22,23,23,24,24,25,26,26,26,26,27,28,28,29,29,30,30,30,31,32,33,33,34,35,36,37,38,39,40,41,41,41,42,43,43,43,44,45,45,45,45,"PARD3B"
1,1,1,1,4,5,5,5,6,7,7,8,8,9,9,9,9,17,18,18,19,20,21,22,22,22,22,23,24,24,27,27,28,29,29,30,30,31,31,31,32,33,34,34,35,36,37,38,39,40,41,42,42,42,43,44,44,44,45,46,46,46,46,"PDE7B"
1,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,30,31,31,32,32,32,33,34,35,35,36,37,38,39,40,41,42,43,43,43,44,45,45,45,46,47,47,47,47,"PKHD1"
1,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,11,11,11,11,11,11,12,13,13,13,13,13,14,14,14,14,14,23,23,23,23,24,24,33,34,35,36,36,37,38,39,40,41,42,43,44,44,44,45,46,46,46,47,48,48,48,48,"PLEKHA7"
1,1,1,1,4,5,5,5,6,7,11,12,12,13,14,16,17,18,19,20,21,22,23,24,24,25,25,26,27,27,28,28,29,30,31,32,32,33,33,34,35,36,37,37,38,39,40,41,42,43,44,45,45,45,46,47,47,47,48,49,49,49,49,"PRSS23"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,32,32,48,49,50,50,50,50,"PTPRJ"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,18,19,19,19,19,20,20,20,21,22,22,46,46,47,48,48,49,50,51,51,51,51,"RALGPS1"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,32,32,48,49,50,50,52,52,"RUNX2"
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,29,29,30,31,32,33,33,34,34,35,36,37,38,38,39,40,41,42,43,44,45,46,47,47,48,49,49,50,51,52,52,53,53,"SPTBN1"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,48,49,50,50,51,52,53,53,54,54,"TEK"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,32,32,48,49,50,54,55,55,"TES"
1,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,11,11,11,11,11,11,12,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,24,25,26,26,27,28,29,29,30,31,32,33,33,33,34,35,51,52,53,54,55,56,56,"TEX41"
1,1,1,3,3,3,3,3,3,3,3,3,13,14,15,15,16,16,17,17,17,17,18,19,19,19,19,19,20,20,20,30,31,32,33,34,34,35,35,36,37,38,39,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,57,"TIMP3"
1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,36,37,38,39,40,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,58,"TMCO1"
1,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,35,36,37,38,39,40,41,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,59,"TNS1"
1,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,11,11,11,11,11,11,12,13,25,26,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,60,"TRIOBP"
1,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,30,31,31,32,32,32,33,34,35,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,61,"TXNRD2"
1,1,1,1,4,5,5,5,6,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,62,"ZNF280D"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,32,32,48,49,50,50,52,63,"NonTargeting"
